Symbol,Country,State,State FIP,County,County FIP
ILAM2,United States,Alabama,01,,
ILAM2,United States,Alabama,01,Baldwin,003
ILAM2,United States,Alabama,01,Mobile,097
ILAM2,United States,Alabama,01,Washington,129
ILAM2,United States,Florida,12,,
ILAM2,United States,Florida,12,Escambia,033
ILAM2,United States,Florida,12,Holmes,059
ILAM2,United States,Florida,12,Jackson,063
ILAM2,United States,Florida,12,Liberty,077
ILAM2,United States,Florida,12,Okaloosa,091
ILAM2,United States,Florida,12,Santa Rosa,113
ILAM2,United States,Florida,12,Walton,131
ILAM2,United States,Georgia,13,,
ILAM2,United States,Georgia,13,Brantley,025
ILAM2,United States,Georgia,13,Bulloch,031
ILAM2,United States,Georgia,13,Camden,039
ILAM2,United States,Georgia,13,Long,183
ILAM2,United States,Georgia,13,Tattnall,267
ILAM2,United States,Georgia,13,Telfair,271
ILAM2,United States,Louisiana,22,,
ILAM2,United States,Louisiana,22,St. Tammany,103
ILAM2,United States,Louisiana,22,Tangipahoa,105
ILAM2,United States,Louisiana,22,Washington,117
ILAM2,United States,Mississippi,28,,
ILAM2,United States,Mississippi,28,Forrest,035
ILAM2,United States,Mississippi,28,George,039
ILAM2,United States,Mississippi,28,Greene,041
ILAM2,United States,Mississippi,28,Hancock,045
ILAM2,United States,Mississippi,28,Harrison,047
ILAM2,United States,Mississippi,28,Jackson,059
ILAM2,United States,Mississippi,28,Pearl River,109
ILAM2,United States,Mississippi,28,Perry,111
ILAM2,United States,Mississippi,28,Pike,113
ILAM2,United States,Mississippi,28,Scott,123
ILAM2,United States,Mississippi,28,Smith,129
ILAM2,United States,Mississippi,28,Stone,131
ILAM2,United States,North Carolina,37,,
ILAM2,United States,North Carolina,37,Brunswick,019
ILAM2,United States,North Carolina,37,Harnett,085
ILAM2,United States,North Carolina,37,Hoke,093
ILAM2,United States,North Carolina,37,Pender,141
ILAM2,United States,North Carolina,37,Robeson,155
ILAM2,United States,North Carolina,37,Scotland,165
ILAM2,United States,South Carolina,45,,
ILAM2,United States,South Carolina,45,Darlington,031
ILAM2,United States,South Carolina,45,Lee,061
