Symbol,Country,State,State FIP,County,County FIP
ILCO2,United States,North Carolina,37,,
ILCO2,United States,Virginia,51,,
ILCO2,United States,Virginia,51,Giles,071
ILCO2,United States,Virginia,51,Grayson,077
ILCO2,United States,Virginia,51,Tazewell,185
ILCO2,United States,West Virginia,54,,
ILCO2,United States,West Virginia,54,Nicholas,067
ILCO2,United States,West Virginia,54,Pocahontas,075
ILCO2,United States,West Virginia,54,Randolph,083
ILCO2,United States,West Virginia,54,Tucker,093
ILCO2,United States,West Virginia,54,Webster,101
