Symbol,Country,State,State FIP,County,County FIP
ILLO,United States,Alabama,01,,
ILLO,United States,Alabama,01,Blount,009
ILLO,United States,Alabama,01,Butler,013
ILLO,United States,Alabama,01,Cullman,043
ILLO,United States,Alabama,01,DeKalb,049
ILLO,United States,Alabama,01,Monroe,099
ILLO,United States,Alabama,01,Wilcox,131
ILLO,United States,Arkansas,05,,
ILLO,United States,Arkansas,05,Garland,051
ILLO,United States,Arkansas,05,Montgomery,097
ILLO,United States,Arkansas,05,Pike,109
ILLO,United States,Arkansas,05,Polk,113
ILLO,United States,Florida,12,,
ILLO,United States,Florida,12,Jackson,063
ILLO,United States,Florida,12,Leon,073
ILLO,United States,Florida,12,Liberty,077
ILLO,United States,Florida,12,Santa Rosa,113
ILLO,United States,Florida,12,Walton,131
ILLO,United States,Florida,12,Washington,133
ILLO,United States,Georgia,13,,
ILLO,United States,Georgia,13,Catoosa,047
ILLO,United States,Georgia,13,Columbia,073
ILLO,United States,Georgia,13,Dade,083
ILLO,United States,Georgia,13,Floyd,115
ILLO,United States,Georgia,13,Gordon,129
ILLO,United States,Louisiana,22,,
ILLO,United States,Louisiana,22,Assumption,007
ILLO,United States,Louisiana,22,Caddo,017
ILLO,United States,Louisiana,22,Caldwell,021
ILLO,United States,Louisiana,22,De Soto,031
ILLO,United States,Louisiana,22,East Baton Rouge,033
ILLO,United States,Louisiana,22,East Feliciana,037
ILLO,United States,Louisiana,22,Natchitoches,069
ILLO,United States,Louisiana,22,Rapides,079
ILLO,United States,Louisiana,22,Sabine,085
ILLO,United States,Louisiana,22,St. Helena,091
ILLO,United States,Louisiana,22,St. Tammany,103
ILLO,United States,Louisiana,22,Tangipahoa,105
ILLO,United States,Louisiana,22,Terrebonne,109
ILLO,United States,Louisiana,22,Vernon,115
ILLO,United States,Louisiana,22,Washington,117
ILLO,United States,Louisiana,22,West Feliciana,125
ILLO,United States,Mississippi,28,,
ILLO,United States,Mississippi,28,Amite,005
ILLO,United States,Mississippi,28,Choctaw,019
ILLO,United States,Mississippi,28,Clarke,023
ILLO,United States,Mississippi,28,Forrest,035
ILLO,United States,Mississippi,28,George,039
ILLO,United States,Mississippi,28,Lamar,073
ILLO,United States,Mississippi,28,Madison,089
ILLO,United States,Mississippi,28,Perry,111
ILLO,United States,Mississippi,28,Walthall,147
ILLO,United States,Mississippi,28,Webster,155
ILLO,United States,Mississippi,28,Wilkinson,157
ILLO,United States,North Carolina,37,,
ILLO,United States,North Carolina,37,Mecklenburg,119
ILLO,United States,South Carolina,45,,
ILLO,United States,South Carolina,45,Cherokee,021
ILLO,United States,South Carolina,45,Fairfield,039
ILLO,United States,South Carolina,45,Lancaster,057
ILLO,United States,South Carolina,45,Laurens,059
ILLO,United States,South Carolina,45,Lexington,063
ILLO,United States,South Carolina,45,Union,087
ILLO,United States,South Carolina,45,York,091
ILLO,United States,Tennessee,47,,
ILLO,United States,Tennessee,47,Carroll,017
ILLO,United States,Tennessee,47,Franklin,051
ILLO,United States,Tennessee,47,Hamilton,065
ILLO,United States,Tennessee,47,Hardin,071
ILLO,United States,Tennessee,47,Lewis,101
ILLO,United States,Tennessee,47,Marion,115
ILLO,United States,Tennessee,47,Shelby,157
ILLO,United States,Tennessee,47,Wayne,181
ILLO,United States,Texas,48,,
ILLO,United States,Texas,48,Angelina,005
ILLO,United States,Texas,48,Jasper,241
ILLO,United States,Texas,48,Montgomery,339
ILLO,United States,Texas,48,Newton,351
ILLO,United States,Texas,48,Polk,373
ILLO,United States,Texas,48,Sabine,403
ILLO,United States,Texas,48,San Jacinto,407
ILLO,United States,Texas,48,Trinity,455
ILLO,United States,Texas,48,Walker,471
ILLO,United States,Virginia,51,,
