Symbol,Country,State,State FIP,County,County FIP
ILOPA,United States,Florida,12,,
ILOPA,United States,Florida,12,Baker,003
ILOPA,United States,Florida,12,Clay,019
ILOPA,United States,Florida,12,DeSoto,027
ILOPA,United States,Florida,12,Flagler,035
ILOPA,United States,Florida,12,Highlands,055
ILOPA,United States,Florida,12,Hillsborough,057
ILOPA,United States,Florida,12,Lake,069
ILOPA,United States,Florida,12,Manatee,081
ILOPA,United States,Florida,12,Marion,083
ILOPA,United States,Florida,12,Orange,095
ILOPA,United States,Florida,12,Polk,105
ILOPA,United States,Florida,12,Putnam,107
ILOPA,United States,Florida,12,Seminole,117
ILOPA,United States,Florida,12,Volusia,127
