"","ILAM","ILAM2","ILCA","ILCO2","ILCO","ILCU3","ILDE","ILGL","ILKR","ILLA","ILLO","ILMO","ILMU","ILMY","ILOP","ILOPA","ILVE","ILVO","OID","State","County","sum"
"1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"3043","Alabama","Autauga",5
"2",1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,"40","Alabama","Baldwin",10
"3",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,"3044","Alabama","Barbour",4
"4",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2822","Alabama","Bibb",4
"5",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"774","Alabama","Blount",5
"6",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"1822","Alabama","Bullock",3
"7",0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,"696","Alabama","Butler",4
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"3035","Alabama","Calhoun",2
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2589","Alabama","Chambers",2
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3098","Alabama","Cherokee",0
"11",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"3073","Alabama","Chilton",5
"12",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"1047","Alabama","Choctaw",4
"13",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,"2076","Alabama","Clarke",5
"14",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"910","Alabama","Clay",4
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2957","Alabama","Cleburne",2
"16",0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,"2785","Alabama","Coffee",7
"17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"983","Alabama","Colbert",2
"18",1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,"2425","Alabama","Conecuh",7
"19",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"2175","Alabama","Coosa",5
"20",0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,"1418","Alabama","Covington",6
"21",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,"3002","Alabama","Crenshaw",5
"22",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"728","Alabama","Cullman",5
"23",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"3003","Alabama","Dale",3
"24",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"1504","Alabama","Dallas",5
"25",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"2369","Alabama","DeKalb",5
"26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"1549","Alabama","Elmore",3
"27",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,"2576","Alabama","Escambia",7
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1248","Alabama","Etowah",1
"29",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"113","Alabama","Fayette",3
"30",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"41","Alabama","Franklin",3
"31",0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,"104","Alabama","Geneva",7
"32",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"2948","Alabama","Greene",4
"33",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2098","Alabama","Hale",2
"34",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"2117","Alabama","Henry",3
"35",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1436","Alabama","Houston",3
"36",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2324","Alabama","Jackson",4
"37",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1864","Alabama","Jefferson",2
"38",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"859","Alabama","Lamar",3
"39",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2583","Alabama","Lauderdale",3
"40",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1144","Alabama","Lawrence",3
"41",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,"1996","Alabama","Lee",8
"42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1446","Alabama","Limestone",1
"43",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2657","Alabama","Lowndes",3
"44",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"2730","Alabama","Macon",3
"45",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1926","Alabama","Madison",2
"46",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"2859","Alabama","Marengo",3
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2912","Alabama","Marion",1
"48",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1145","Alabama","Marshall",2
"49",1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,"1955","Alabama","Mobile",8
"50",0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,"581","Alabama","Monroe",7
"51",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2025","Alabama","Montgomery",3
"52",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"794","Alabama","Morgan",1
"53",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"2426","Alabama","Perry",2
"54",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"2869","Alabama","Pickens",4
"55",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,"1823","Alabama","Pike",6
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"386","Alabama","Randolph",1
"57",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"2885","Alabama","Russell",4
"58",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1386","Alabama","St. Clair",2
"59",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2842","Alabama","Shelby",1
"60",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"1093","Alabama","Sumter",3
"61",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"2308","Alabama","Talladega",2
"62",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"558","Alabama","Tallapoosa",3
"63",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,"1600","Alabama","Tuscaloosa",5
"64",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"2927","Alabama","Walker",3
"65",0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,"2811","Alabama","Washington",6
"66",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"2077","Alabama","Wilcox",4
"67",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"1143","Alabama","Winston",4
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2115","Alaska","Aleutians East",0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"205","Alaska","Aleutians West",0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1078","Alaska","Anchorage",0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"402","Alaska","Bethel",0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2122","Alaska","Bristol Bay",0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3054","Alaska","Denali",0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1383","Alaska","Dillingham",0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"341","Alaska","Fairbanks North Star",0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11","Alaska","Haines",0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"698","Alaska","Hoonah-Angoon",0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2113","Alaska","Juneau",0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3153","Alaska","Kenai Peninsula",0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"406","Alaska","Ketchikan Gateway",0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2123","Alaska","Kodiak Island",0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"571","Alaska","Kusilvak",0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"251","Alaska","Lake and Peninsula",0
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2325","Alaska","Matanuska-Susitna",0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"348","Alaska","Nome",0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"538","Alaska","North Slope",0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"621","Alaska","Northwest Arctic",0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"223","Alaska","Petersburg",0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"764","Alaska","Prince of Wales-Hyder",0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"671","Alaska","Sitka",0
