"","ILAM","ILAM2","ILCA","ILCO2","ILCO","ILCU3","ILDE","ILGL","ILKR","ILLA","ILLO","ILMO","ILMU","ILMY","ILOP","ILVE","ILVO","sum"
"Alabama",1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,12
"Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas",1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,7
"California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,6
"Delaware",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,4
"District of Columbia",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,4
"Florida",1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,12
"Georgia",1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,14
"Hawaii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Illinois",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,4
"Indiana",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,4
"Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Kansas",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Kentucky",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,5
"Louisiana",1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,11
"Maine",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4
"Maryland",0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,7
"Massachusetts",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,6
"Michigan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Mississippi",1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,11
"Missouri",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3
"Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nebraska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4
"New Jersey",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,6
"New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New York",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,6
"North Carolina",1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,14
"North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ohio",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3
"Oklahoma",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
"Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pennsylvania",0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,6
"Rhode Island",0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5
"South Carolina",1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,14
"South Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tennessee",1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,6
"Texas",1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,10
"Utah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermont",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Virginia",1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,11
"Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Virginia",0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,5
"Wisconsin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alberta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"British Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manitoba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Brunswick",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Newfoundland and Labrador",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Northwest Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3
"Nunavut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ontario",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Prince Edward Island",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Quebec",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"Saskatchewan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yukon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
